pilot_id,source_audit,reliability_type,kappa,Company Name,Year,Sentence,ESG_dim,FinBERT_sentiment,Corporate_or_Contextual,Genuine_ESG_or_FalsePositive,E_label_correct,Confidence,Notes
audit1_trigger_word_023,audit1_trigger_word,blind_independent,0.645,MSAD,2019,"We have renewed our recognition that to realize the society our Group is aiming at, the assistance of agents who interface with customers on a daily basis is necessary.",S,positive,Corporate,Genuine,,Low,"The sentence refers explicitly to realizing the society the Group aims to create, which expresses an intended societal outcome. The social meaning is therefore deliberate rather than incidental, but the desired societal outcome is not defined in this sentence; therefore confidence remains Low."
audit1_trigger_word_024,audit1_trigger_word,blind_independent,0.645,Travelers,2016,"GIVING BACK In addition to focusing on the sustainability and profitability of our business, we're also focused more broadly on the sustainability and prosperity of the communities we call home.",E/S,neutral,Corporate,Genuine,No,High,"Explicit social/community content: under the 'Giving Back' framing, the firm distinguishes business profitability from the sustainability and prosperity of the communities in which it operates."
audit1_trigger_word_025,audit1_trigger_word,blind_independent,0.645,Prudential Financials,2018,"We will continue to generate outcomes for our customers that are difficult for other companies to replicate, creating value for all stakeholders.",S,positive,Corporate,FalsePositive,,High,The reference to 'all stakeholders' is part of a competitive value-creation claim; the sentence focuses on differentiated customer outcomes and does not identify a specific ESG objective.
audit1_trigger_word_026,audit1_trigger_word,blind_independent,0.645,Tokio Marine,2020,By the same token insurance companies will be playing a greater role in society.,S,neutral,Contextual,Genuine,,Low,"The sentence explicitly positions insurance companies as playing a greater role in society. This is a deliberate statement about societal role and therefore qualifies as a genuine social-purpose reference, although it is highly general and does not specify a particular issue, action, or outcome; therefore confidence remains Low."
audit1_trigger_word_027,audit1_trigger_word,blind_independent,0.645,Power Corp Canada,2021,"Both Sagard and Power Sustainable launched new investment vehicles and accelerated external funding, raising a total of $4.2 billion from third‑party investors [3] in 2021.",E,positive,Corporate,FalsePositive,No,High,'Power Sustainable' is a proper company name rather than a sustainability descriptor; the sentence concerns investment vehicles and external fundraising. Distinct false-positive mechanism: proper-noun trigger.
audit1_trigger_word_028,audit1_trigger_word,blind_independent,0.645,Sompo,2023,SOMPO aims to become a corporate group that creates various innovations to increase the happiness of multiple stakeholders by practicing purpose-driven management unique to SOMPO.,S,neutral,Corporate,Genuine,,Low,"Borderline: the sentence intentionally invokes stakeholder well-being and purpose-driven management, but the claim is highly general and lacks a specific social action or outcome."
audit1_trigger_word_029,audit1_trigger_word,blind_independent,0.645,MSAD,2019,"To respond promptly to environmental flux, we ourselves have to become a resilient and sustainable group.",E,positive,Corporate,FalsePositive,No,High,"The terms 'environmental,' 'resilient,' and 'sustainable' refer to adaptability to changing business conditions and organizational durability rather than ESG-related environmental or social concerns."
audit2_E_random50_030,audit2_E_random50,reviewed_pass,,Chubb,2022,"Exacerbated by climate change and urbanization, the industry and society face a growing frequency of costly CATs.",E,negative,Contextual,Genuine,Yes,High,Genuine ESG; E correct. Climate change is explicitly linked to increasing catastrophe frequency and cost. The statement is contextual at industry/society level rather than a firm environmental action.
audit2_E_random50_031,audit2_E_random50,reviewed_pass,,Swiss RE,2019,"In 2019, Swiss Re demonstrated yet again its strong commitment to sustainable investing by being one of the founding partners of the UN-convened Net-Zero Asset Owner Alliance, pledging to transition our investment portfolios to net-zero carbon emissions by 2050.",E/S,positive,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. Swiss Re identifies a concrete sustainable-investment initiative, membership in the Net-Zero Asset Owner Alliance, and a 2050 net-zero portfolio commitment."
audit2_E_random50_032,audit2_E_random50,reviewed_pass,,Daichi,2021,"Among many issues, climate change was cited as the greatest risk at the World Economic Forum held in Davos last year.",E,neutral,Contextual,Genuine,Yes,High,Genuine ESG; E correct. The sentence explicitly reports climate change as an external risk assessment. It is contextual because the claim is attributed to the World Economic Forum rather than to a firm action.
audit2_E_random50_033,audit2_E_random50,reviewed_pass,,Chubb,2022,We have an objective to help society make an orderly transition to a net-zero economy in a responsible way that does not sacrifice our energy security needs.,E,neutral,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The firm states an objective to support the transition to a net-zero economy. The commitment is environmental, although the sentence does not provide a quantified target or date."
audit2_E_random50_034,audit2_E_random50,reviewed_pass,,MSAD,2023,We are also working to improve the sustainability of natural capital in conjunction with climate change responses.,E,positive,Corporate,Genuine,Yes,Medium,"Genuine ESG; E correct. Natural capital and climate-change responses are explicitly environmental topics, and the sentence describes the firm's own ongoing activity."
audit2_E_random50_035,audit2_E_random50,reviewed_pass,,MSAD,2019,"Based on the “story of value creation” and using SDGs as leading marks, we will advance CSV initiatives toward creating shared value with society and make steady steps to realize a “resilient and sustainable society” by 2030.",E/S,positive,Corporate,Genuine,No,Medium,"Genuine ESG, but E incorrect. SDGs, shared value, and a resilient and sustainable society establish broad social/ESG relevance, but the sentence does not identify a specific environmental issue, action, or outcome."
audit2_E_random50_036,audit2_E_random50,reviewed_pass,,MSAD,2013,"MS&AD Insurance Group has set out its mission as, “To contribute to the development of a vibrant society and help secure a sound future for the earth, by bringing security and safety through the global insurance and financial services business.”",E/S,positive,Corporate,Genuine,Yes,Low,"Genuine ESG; E correct. The mission explicitly refers to securing a sound future for the earth, giving the sentence an environmental purpose alongside its broader societal language. The claim is very general."
audit2_E_random50_037,audit2_E_random50,reviewed_pass,,Power Corp Canada,2020,"Sagard Holdings currently has teams managing private equity, private credit, private wealth, fintech venture capital and healthcare royalty strategies, while Power Sustainable teams are managing renewable energy infrastructure and China public equity strategies.",E,neutral,Corporate,Genuine,Yes,Medium,Genuine ESG; E correct. Renewable-energy infrastructure is a substantive environmental business activity independent of the proper name 'Power Sustainable.' The sentence is primarily a business-line description rather than an ESG commitment.
audit2_E_random50_038,audit2_E_random50,reviewed_pass,,Sompo,2022,2. Mission as the Group COO I believe that the major challenges we must address before passing the baton to the next generation and later generations are demographics and climate change.,E,neutral,Corporate,Genuine,Yes,Medium,Genuine ESG; E correct. The COO explicitly identifies climate change as a major challenge for the organization and future generations. The environmental content is clear but non-specific.
audit2_E_random50_039,audit2_E_random50,reviewed_pass,,Allstate,2023,"As you know, 2023 was a year of severe weather, inflation, and volatile investment markets.",E,negative,Contextual,Genuine,Yes,Medium,Genuine ESG; E correct. Severe weather is presented as an external environmental/natural-hazard condition affecting the year. The sentence is contextual and does not describe a firm action.
audit2_E_random50_040,audit2_E_random50,reviewed_pass,,Daichi,2015,This concept of DSR Management very much reflects the purport of the Corporate Governance Code for listed companies and the Stewardship Code for institutional investors.,E/G,neutral,Corporate,Genuine,No,High,"Genuine ESG, but E incorrect. The sentence concerns the Corporate Governance Code and Stewardship Code, so its substantive ESG relevance is governance rather than environmental."
audit2_E_random50_041,audit2_E_random50,reviewed_pass,,Chubb,2022,"The business presents opportunities to expand our underwriting in carbon capture, hydrogen, electric vehicle (EV) charging stations, and industrial battery storage systems that allow clean energy producers (e.g., wind and solar) to store energy for efficient distribution.",E,positive,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The sentence identifies concrete underwriting opportunities in carbon capture, hydrogen, EV charging, battery storage, wind, and solar, all directly related to the low-carbon transition."
audit2_E_random50_042,audit2_E_random50,reviewed_pass,,Chubb,2019,"Chubb is a leading provider of insurance for renewable energy project construction and operation, and clean tech companies that are creating new technology to reduce CO2 emissions.",E,neutral,Corporate,Genuine,Yes,High,Genuine ESG; E correct. Chubb describes insurance activity supporting renewable-energy and clean-technology projects intended to reduce CO2 emissions.
audit2_E_random50_043,audit2_E_random50,reviewed_pass,,China Life,2019,"We will speed up the integration of service platforms, and shape the Company’s operation and services to be more integrated, intelligent and ecological.",E,positive,Corporate,FalsePositive,No,Medium,"False positive; E incorrect. Here 'ecological' describes an integrated service or platform ecosystem rather than environmental protection, environmental impact, or an environmental objective."
audit2_E_random50_044,audit2_E_random50,reviewed_pass,,Prudential Financials,2021,"Recognizing the need for a robust reporting framework to quantify and track our sustainability efforts, last March we released a summary ESG report — in addition to our annual sustainability report — to provide a comprehensive overview of the company’s sustainable goals and our progress toward achieving them.",E/S/G,positive,Corporate,Genuine,No,High,"Genuine ESG, but E incorrect. The sentence concerns ESG/sustainability reporting and sustainable goals at an umbrella level; it does not itself identify a specific environmental issue, action, or outcome."
audit2_E_random50_045,audit2_E_random50,reviewed_pass,,Ping An,2012,"In terms of environmental protection, we have embedded corporate social responsibility in our individual businesses such as insurance, banking and investment, through our “Low Carbon 100” campaign run over the last two years.",E/S,neutral,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. Environmental protection, corporate social responsibility, and the named 'Low Carbon 100' campaign provide explicit environmental content and a concrete corporate initiative."
audit2_E_random50_046,audit2_E_random50,reviewed_pass,,Munich RE,2018,"We posted a good profit in property-casualty reinsurance – despite high natural catastrophe losses in the fourth quarter, including Typhoon Jebi and the wildfires in California.",E,positive,Contextual,Genuine,Yes,Medium,Genuine ESG; E correct. Natural-catastrophe losses from Typhoon Jebi and California wildfires are substantive environmental/natural-hazard context for the firm's underwriting result.
audit2_E_random50_047,audit2_E_random50,reviewed_pass,,Prudential Financials,2020,"More information about these initiatives and others designed to support Prudential’s Global Environmental Commitment will be outlined in detail in our 2021 Sustainability Report, which will be released in June.",E/S,neutral,Corporate,Genuine,Yes,Medium,Genuine ESG; E correct. The sentence explicitly refers to Prudential's Global Environmental Commitment and directs readers to further sustainability reporting on related initiatives.
audit2_E_random50_048,audit2_E_random50,reviewed_pass,,Power Corp Canada,2017,"The Power Group Power Corporation adheres to long-term principles emphasizing prudent financial structure, sustainability, active ownership, and social responsibility.",E/S,neutral,Corporate,Genuine,No,Low,"Genuine ESG, but E not sufficiently supported. 'Sustainability,' active ownership, and social responsibility establish broad ESG relevance, but the sentence does not identify a distinct environmental issue or action."
audit2_E_random50_049,audit2_E_random50,reviewed_pass,,Power Corp Canada,2014,"Imerys, a producer of mineral-based specialties for industry; Lafarge, which produces cement, aggregates and concrete; Total, in the oil, gas and alternative energy industry; SGS, engaged in testing, inspection and certification; Pernod Ricard, a leader in wines and spirits; and GDF Suez, a provider of electricity, natural gas, and energy and environmental services.",E,neutral,Contextual,FalsePositive,No,High,"False positive; E incorrect. The environmental terms appear only within descriptions of portfolio companies and industry sectors; the sentence itself makes no environmental claim, commitment, impact, or risk statement."
audit2_E_random50_050,audit2_E_random50,reviewed_pass,,AXA,2016,The Board of Directors will continue to pay close attention to corporate responsibility matters as they contribute to sustainable economic development and to the interests of society as a whole.,E/S/G,neutral,Corporate,Genuine,No,Medium,"Genuine ESG, but E not sufficiently supported. Board attention to corporate responsibility and the interests of society is ESG-relevant, but 'sustainable economic development' is too broad here to establish a specific environmental dimension."
audit2_E_random50_051,audit2_E_random50,reviewed_pass,,Chubb,2020,"With every year that passes, the amount we expect to pay out from a given set of exposures increases, a reality of climate change.",E,neutral,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The firm explicitly attributes rising expected loss costs for a given exposure set to climate change, making the environmental risk connection direct."
audit2_E_random50_052,audit2_E_random50,reviewed_pass,,MSAD,2018,See the “World Map of Natural Catastrophes” section (P. 67) for details Fortune Global 500 A ranking of global companies by gross income that is released every year by Fortune magazine.,E,neutral,Contextual,FalsePositive,No,High,False positive; E incorrect. This is a PDF-extraction/cross-reference artifact combining a section pointer on natural catastrophes with an unrelated Fortune Global 500 definition; it does not contain a substantive environmental statement.
audit2_E_random50_053,audit2_E_random50,reviewed_pass,,Ping An,2018,"The platforms serve hundreds of millions of people through a variety of applications, including fiscal management, government administration, transportation, life, health care, customs control, education, agriculture, judicial activities, environmental protection, and community governance.",E,neutral,Corporate,Genuine,Yes,Medium,"Genuine ESG; E correct. 'Environmental protection' is an explicit application area of the firm's platforms. It is only one item in a broad service list, so the environmental signal is limited but substantive rather than accidental."
audit2_E_random50_054,audit2_E_random50,reviewed_pass,,Chubb,2018,Climate change is a reality and its effects can be seen by an increased frequency and severity of natural catastrophes.,E,neutral,Contextual,Genuine,Yes,High,Genuine ESG; E correct. The sentence directly links climate change to increasing frequency and severity of natural catastrophes. It is contextual rather than a statement of firm action.
audit2_E_random50_055,audit2_E_random50,reviewed_pass,,Swiss RE,2018,"In 2018, the western Pacific typhoon season produced 29 named storms, higher than the average of 26.6, prompting floods and leaving thousands of people stranded.",E,negative,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. The sentence provides concrete statistics on typhoon activity and associated flooding, constituting substantive environmental/natural-hazard context."
audit2_E_random50_056,audit2_E_random50,reviewed_pass,,Chubb,2015,"Depressed commodity prices China's slowing growth continues to impact all natural resource- and export-dependent countries around the world, particularly throughout Asia and Latin America.",E,negative,Contextual,FalsePositive,No,High,"False positive; E incorrect. 'Natural resource' refers to resource-dependent economies in macroeconomic commentary; the sentence contains no environmental objective, impact, risk-management action, or sustainability content."
audit2_E_random50_057,audit2_E_random50,reviewed_pass,,Chubb,2017,The most difficult non-modeled or poorly modeled events we and the industry have to get our heads around are the wildfires last year — they were hardly a one-off freak occurrence.,E,neutral,Contextual,Genuine,Yes,Medium,"Genuine ESG; E correct. Wildfires are discussed as recurring, difficult-to-model risks for the firm and insurance industry, making the environmental/natural-hazard content substantive."
audit2_E_random50_058,audit2_E_random50,reviewed_pass,,AXA,2021,"In this challenging period, we enhanced our healthcare offering, supported the economic recovery, and announced ambitious commitments in favor of the climate transition.",E,positive,Corporate,Genuine,Yes,Medium,"Genuine ESG; E correct. The firm states that it announced commitments supporting the climate transition. The environmental intent is explicit, although the sentence gives no specific target or metric."
audit2_E_random50_059,audit2_E_random50,reviewed_pass,,MSAD,2020,"This is a clear demonstration of how serious global environmental issues are, issues that are having an extremely big impact on our business.",E,neutral,Corporate,Genuine,Yes,Low,"Genuine ESG; E correct. The sentence explicitly identifies global environmental issues and their material impact on the firm's business, although it does not specify the issue or response."
audit2_E_random50_060,audit2_E_random50,reviewed_pass,,Talanx,2023,"Key milestones on this journey are to fully exit thermal coal infrastructure by 2038 in our insurance business, and to achieve a 30 percent reduction in the carbon intensity of our liquid assets under own management by 2025.",E,positive,Corporate,Genuine,Yes,High,Genuine ESG; E correct. The sentence contains two concrete environmental targets: a 2038 exit from thermal-coal infrastructure insurance and a 30% reduction in investment carbon intensity by 2025.
audit2_E_random50_061,audit2_E_random50,reviewed_pass,,Swiss RE,2018,"At the current rate of action, climate change will likely lead to more natural disasters, with implications for every aspect of society and everyone – not to mention the consequences that could spill over to future generations.",E,neutral,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. Climate change is explicitly linked to future natural disasters and broad societal consequences, including effects on future generations. The statement is contextual."
audit2_E_random50_062,audit2_E_random50,reviewed_pass,,Travelers,2020,"Supporting the Transition to a Lower-Carbon Economy To facilitate innovation and the growth of renewable energy businesses and support the transition over time to a lower-carbon economy, we have a dedicated Global Renewable Energy Practice.",E,neutral,Corporate,Genuine,Yes,High,Genuine ESG; E correct. The company identifies a dedicated Global Renewable Energy Practice established to support renewable-energy growth and the transition to a lower-carbon economy.
audit2_E_random50_063,audit2_E_random50,reviewed_pass,,Chubb,2018,"Strategically, with the election last year of a new left– leaning and populist government in “ Good corporate citizenship lies at our core: how we practice our craft of insurance, how we work together to serve our customers, how we treat each other and how we work to help make a better world for our communities and our planet.”",E/S,neutral,Corporate,Genuine,Yes,Low,"Genuine ESG; E correct. The corporate-citizenship statement expressly includes helping communities and the planet. The environmental element is genuine but broad, and the extracted sentence is partially garbled."
audit2_E_random50_064,audit2_E_random50,reviewed_pass,,Chubb,2013,"U.S. growth is on a more solid footing and more broad- based – construction, manufacturing (particularly auto), energy and housing – and there is less impact from recent government fiscal contraction, i.e., the sequester.",E,positive,Contextual,FalsePositive,No,High,False positive; E incorrect. 'Energy' appears as one sector in macroeconomic commentary on U.S. growth; there is no environmental or sustainability meaning in context.
audit2_E_random50_065,audit2_E_random50,reviewed_pass,,Sompo,2021,"Many earthquakes, heavy rains, and typhoons struck Japan in recent years and employees all over the country are working hard to fulfill our responsibilities as an insurance group.",E,positive,Corporate,Genuine,Yes,Medium,"Genuine ESG; E correct. Earthquakes, heavy rains, and typhoons are substantive natural-hazard context, and the sentence links employee activity to the insurer's responsibility in responding to these events."
audit2_E_random50_066,audit2_E_random50,reviewed_pass,,Chubb,2019,"As an insurer, our first responsibility is to use our expertise in risk management to provide products and services that protect individuals, businesses and communities against the effects of climate change.",E,neutral,Corporate,Genuine,Yes,Medium,Genuine ESG; E correct. The firm explicitly frames protection against the effects of climate change as an insurer responsibility and connects that objective to its products and risk-management expertise.
audit2_E_random50_067,audit2_E_random50,reviewed_pass,,Munich RE,2020,Cyber risks and especially climate change both pose major risks.,E,neutral,Corporate,Genuine,Yes,Low,Genuine ESG; E correct. Climate change is explicitly identified as a major risk. The environmental classification is clear even though the sentence is minimal and contains no action or metric.
audit2_E_random50_068,audit2_E_random50,reviewed_pass,,Ping An,2022,"As a result of international ESG ratings, Ping An has built a reputation as a leader in China and internationally.",E/S/G,positive,Corporate,Genuine,No,Medium,"Genuine ESG, but E incorrect. International ESG ratings are genuine ESG-related content, but the sentence is about overall ESG reputation and does not isolate an environmental issue or performance dimension."
audit2_E_random50_069,audit2_E_random50,reviewed_pass,,Power Corp Canada,2022,We advanced meaningful ESG initiatives through our active ownership approach.,E/S/G,positive,Corporate,Genuine,No,Medium,"Genuine ESG, but E incorrect. 'ESG initiatives' establishes genuine ESG relevance, but it is an umbrella reference and the sentence does not provide specifically environmental content."
audit2_E_random50_070,audit2_E_random50,reviewed_pass,,Prudential Financials,2019,"I encourage you to read our Sustainability report which can be found on our website, to learn more about how we are creating value across all of these dimensions.",E/S,neutral,Corporate,Genuine,No,Low,"Genuine ESG, but E incorrect. The sentence is only a pointer to a Sustainability Report and does not itself identify a specific environmental issue, action, target, or outcome."
audit2_E_random50_071,audit2_E_random50,reviewed_pass,,Allianz,2023,"In 2023, we again demonstrated our industry leadership in sustainability by publishing our first comprehensive net- zero transition plan – with concrete milestones to be achieved by 2030 – detailing our commitment to achieve net-zero emissions in the investment of policyholder funds and our property and casualty portfolios by 2050.",E,positive,Corporate,Genuine,Yes,High,Genuine ESG; E correct. Allianz describes a net-zero transition plan with 2030 milestones and a 2050 net-zero emissions commitment covering investments and property-casualty portfolios.
audit2_E_random50_072,audit2_E_random50,reviewed_pass,,PIC,2018,"We will provide in-depth services to support the rural revitalization strategy, the supply-side reform of agricultural insurance product services, and the improvement of insurance coverage for “agriculture, rural areas, and farmers.”",E,positive,Corporate,Genuine,No,Medium,"Genuine ESG, but E incorrect. Rural revitalization and expanded agricultural-insurance coverage are principally social/economic inclusion themes; agriculture alone does not establish an environmental dimension."
audit2_E_random50_073,audit2_E_random50,reviewed_pass,,Ping An,2012,"This Annual Report 2012 About us year, we actively participated in Project Green Hope, establishing 10,000 acres of Ping An forest land in 10 provinces and regions in collaboration with the China Youth Development Foundation.",E,positive,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The sentence reports the named Project Green Hope and quantifies 10,000 acres of forest land across 10 provinces, providing concrete environmental action."
audit2_E_random50_074,audit2_E_random50,reviewed_pass,,AIG,2023,"2023 was a particularly challenging year for the insurance industry in which natural catastrophe insured loss activity remained at the forefront, with a record- setting 37 events that exceeded $1 billion of insured loss, and the sixth year out of the last seven with total insured losses exceeding $100 billion.",E,negative,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. The sentence quantifies natural-catastrophe insured losses and event frequency at industry level, providing substantive environmental/natural-hazard context."
audit2_E_random50_075,audit2_E_random50,reviewed_pass,,Tokio Marine,2021,The global shift to renewable energy and the rise in cyber risks are but two examples that demand attention.,E,neutral,Contextual,Genuine,Yes,Medium,"Genuine ESG; E correct. The global shift to renewable energy is explicitly identified as a development demanding attention, giving the sentence clear environmental content."
